REG,HHID,FSIZE,CHLD_6_11,CHLD_12_15,EDUC_6_11,EDUC_12_15,HHMELEM_6_11,HHMHS_12_15,H04_SEX,H05_AGE,H06_STATUS,H12_HGC,URB,RPSU,REP,RFACT
14,00001, 5,1,0,1,0, 1,  ,1,32, 2,24015,2, 227,  6,00187.7847
14,00002, 6,1,0,1,0, 1,  ,1,42, 2,24015,2, 227,  6,00187.7847
14,00003, 3,0,0,0,0,  ,  ,1,44, 3,10018,2, 227,  6,00187.7847
14,00004, 4,0,0,0,0,  ,  ,1,49, 2,24015,2, 227,  6,00187.7847
14,00005, 1,0,0,0,0,  ,  ,1,53, 1,10018,2, 227,  6,00187.7847
14,00006, 3,0,0,0,0,  ,  ,1,61, 2,24015,2, 227,  6,00187.7847
14,00007, 3,0,0,0,0,  ,  ,1,47, 2,24015,2, 227,  6,00187.7847
14,00008, 5,0,1,0,1,  , 2,1,32, 2,24015,2, 227,  6,00187.7847
14,00009, 6,0,1,0,1,  , 1,1,57, 2,10018,2, 227,  6,00187.7847
14,00010, 7,0,0,0,0,  ,  ,1,55, 2,24012,2, 227,  6,00187.7847
14,00011, 4,1,0,1,0, 1,  ,1,54, 2,24015,2, 227,  6,00187.7847
14,00012, 6,0,1,0,1,  , 1,1,48, 2,24015,2, 227,  6,00187.7847
14,00013, 2,0,0,0,0,  ,  ,1,83, 2,10018,2, 227,  6,00187.7847
14,00014, 1,0,0,0,0,  ,  ,1,47, 1,10018,2, 227,  6,00187.7847
14,00015, 4,0,0,0,0,  ,  ,1,71, 2,10018,2, 227,  6,00187.7847
14,00016, 5,1,0,1,0, 2,  ,1,38, 2,24015,2, 233,  7,00134.7151
14,00017, 6,1,1,1,1, 1, 1,1,48, 2,10018,2, 233,  7,00134.7151
14,00018, 2,0,0,0,0,  ,  ,1,43, 2,10018,2, 233,  7,00134.7151
14,00019, 2,0,0,0,0,  ,  ,2,85, 3, 2000,2, 233,  7,00134.7151
14,00020, 7,0,0,0,0,  ,  ,1,41, 2,24015,2, 233,  7,00134.7151
14,00021, 6,1,1,1,1, 1, 2,1,41, 2,10018,2, 233,  7,00134.7151
14,00022, 3,0,0,0,0,  ,  ,1,60, 2,10018,2, 233,  7,00134.7151
14,00023, 3,0,0,0,0,  ,  ,1,55, 2,24015,2, 143,  6,00201.7633
