REG,HHID,G11CODE,G11,G12
14,00001,1,1,CD                              
14,00001,2,2,                                
14,00002,1,2,                                
14,00002,2,2,                                
14,00003,1,2,                                
14,00003,2,2,                                
14,00004,1,2,                                
14,00004,2,2,                                
14,00005,1,2,                                
14,00005,2,2,                                
14,00006,1,2,                                
14,00006,2,2,                                
14,00007,1,2,                                
14,00007,2,2,                                
14,00008,1,1,D                               
14,00008,2,2,                                
14,00009,1,2,                                
14,00009,2,2,                                
14,00010,1,2,                                
14,00010,2,2,                                
14,00011,1,1,D                               
14,00011,2,1,D                               
14,00012,1,2,                                
14,00012,2,2,                                
14,00013,1,2,                                
14,00013,2,2,                                
14,00014,1,2,                                
14,00014,2,2,                                
14,00015,1,2,                                
14,00015,2,2,                                
14,00016,1,2,                                
14,00016,2,2,                                
14,00017,1,1,F                               
14,00017,2,1,F                               
14,00018,1,2,                                
14,00018,2,2,                                
14,00019,1,2,                                
14,00019,2,2,                                
14,00020,1,1,G                               
14,00020,2,1,G                               
14,00021,1,1,F                               
14,00021,2,1,F                               
14,00022,1,2,                                
14,00022,2,2,                                
14,00023,1,2,                                
14,00023,2,2,                                
14,00024,1,2,                                
14,00024,2,2,                                
14,00025,1,2,                                
14,00025,2,2,                                
14,00026,1,2,                                
14,00026,2,2,                                
14,00027,1,2,                                
14,00027,2,2,                                
14,00028,1,2,                                
14,00028,2,2,                                
14,00029,1,2,                                
14,00029,2,2,                                
14,00030,1,1,CD                              
14,00030,2,1,CD                              
14,00031,1,2,                                
14,00031,2,2,                                
14,00032,1,2,                                
14,00032,2,2,                                
14,00033,1,2,                                
14,00033,2,2,                                
14,00034,1,2,                                
14,00034,2,2,                                
14,00035,1,2,                                
14,00035,2,2,                                
14,00036,1,2,                                
14,00036,2,2,                                
14,00037,1,2,                                
14,00037,2,2,                                
14,00038,1,2,                                
14,00038,2,2,                                
14,00039,1,2,                                
14,00039,2,2,                                
14,00040,1,2,                                
14,00040,2,2,                                
14,00041,1,2,                                
14,00041,2,2,                                
14,00042,1,2,                                
14,00042,2,2,                                
14,00043,1,2,                                
14,00043,2,2,                                
14,00044,1,2,                                
14,00044,2,2,                                
14,00045,1,2,                                
14,00045,2,2,                                
14,00046,1,2,                                
14,00046,2,2,                                
14,00047,1,2,                                
14,00047,2,2,                                
14,00048,1,2,                                
14,00048,2,2,                                
14,00049,1,2,                                
14,00049,2,2,                                
14,00050,1,2,                                
14,00050,2,2,                                
14,00051,1,2,                                
14,00051,2,2,                                
14,00052,1,2,                                
14,00052,2,2,                                
14,00053,1,2,                                
14,00053,2,2,                                
14,00054,1,2,                                
14,00054,2,2,                                
14,00055,1,2,                                
14,00055,2,2,                                
14,00056,1,2,                                
14,00056,2,2,                                
14,00057,1,2,                                
14,00057,2,2,                                
14,00058,1,2,                                
14,00058,2,2,                                
14,00059,1,2,                                
14,00059,2,2,                                
14,00060,1,2,                                
14,00060,2,2,                                
14,00061,1,2,                                
14,00061,2,2,                                
14,00062,1,2,                                
14,00062,2,2,                                
14,00063,1,1,C                               
14,00063,2,1,C                               
14,00064,1,2,                                
14,00064,2,2,                                
14,00065,1,2,                                
14,00065,2,2,                                
14,00066,1,2,                                
14,00066,2,2,                                
14,00067,1,2,                                
14,00067,2,2,                                
14,00068,1,2,                                
14,00068,2,2,                                
14,00069,1,2,                                
14,00069,2,2,                                
14,00070,1,2,                                
14,00070,2,2,                                
14,00071,1,2,                                
14,00071,2,2,                                
14,00072,1,2,                                
14,00072,2,2,                                
14,00073,1,2,                                
14,00073,2,2,                                
14,00074,1,2,                                
14,00074,2,2,                                
14,00075,1,2,                                
14,00075,2,2,                                
14,00076,1,2,                                
14,00076,2,2,                                
14,00077,1,2,                                
14,00077,2,2,                                
14,00078,1,1,E                               
14,00078,2,2,                                
14,00079,1,2,                                
14,00079,2,2,                                
14,00080,1,2,                                
14,00080,2,2,                                
14,00081,1,2,                                
14,00081,2,2,                                
14,00082,1,2,                                
14,00082,2,2,                                
14,00083,1,2,                                
14,00083,2,2,                                
14,00084,1,2,                                
14,00084,2,2,                                
14,00085,1,1,CD                              
14,00085,2,1,CD                              
14,00086,1,2,                                
14,00086,2,2,                                
14,00087,1,2,                                
14,00087,2,2,                                
14,00088,1,2,                                
14,00088,2,2,                                
14,00089,1,2,                                
14,00089,2,2,                                
14,00090,1,2,                                
14,00090,2,2,                                
14,00091,1,2,                                
14,00091,2,2,                                
14,00092,1,2,                                
14,00092,2,2,                                
14,00093,1,2,                                
14,00093,2,2,                                
14,00094,1,2,                                
14,00094,2,2,                                
14,00095,1,2,                                
14,00095,2,2,                                
14,00096,1,2,                                
14,00096,2,2,                                
14,00097,1,2,                                
14,00097,2,2,                                
14,00098,1,2,                                
14,00098,2,2,                                
14,00099,1,2,                                
14,00099,2,2,                                
14,00100,1,2,                                
14,00100,2,2,                                
14,00101,1,2,                                
14,00101,2,2,                                
14,00102,1,2,                                
14,00102,2,2,                                
14,00103,1,2,                                
14,00103,2,2,                                
14,00104,1,2,                                
14,00104,2,2,                                
14,00105,1,2,                                
14,00105,2,2,                                
14,00106,1,2,                                
14,00106,2,2,                                
14,00107,1,2,                                
14,00107,2,2,                                
14,00108,1,2,                                
14,00108,2,2,                                
14,00109,1,2,                                
14,00109,2,2,                                
14,00110,1,2,                                
14,00110,2,2,                                
14,00111,1,2,                                
14,00111,2,2,                                
14,00112,1,2,                                
14,00112,2,2,                                
14,00113,1,1,D                               
14,00113,2,1,D                               
14,00114,1,2,                                
14,00114,2,2,                                
14,00115,1,2,                                
14,00115,2,2,                                
14,00116,1,1,GH                              
14,00116,2,1,GH                              
14,00117,1,1,EFG                             
14,00117,2,1,EFG                             
14,00118,1,2,                                
14,00118,2,2,                                
14,00119,1,1,CD                              
14,00119,2,1,CD                              
14,00120,1,2,                                
14,00120,2,2,                                
14,00121,1,2,                                
14,00121,2,2,                                
14,00122,1,2,                                
14,00122,2,2,                                
14,00123,1,2,                                
14,00123,2,2,                                
14,00124,1,2,                                
14,00124,2,2,                                
14,00125,1,2,                                
14,00125,2,2,                                
14,00126,1,2,                                
14,00126,2,2,                                
14,00127,1,2,                                
14,00127,2,2,                                
14,00128,1,2,                                
14,00128,2,2,                                
14,00129,1,2,                                
14,00129,2,2,                                
14,00130,1,2,                                
14,00130,2,2,                                
14,00131,1,2,                                
14,00131,2,2,                                
14,00132,1,2,                                
14,00132,2,2,                                
14,00133,1,2,                                
14,00133,2,2,                                
14,00134,1,2,                                
14,00134,2,2,                                
14,00135,1,1,D                               
14,00135,2,2,                                
14,00136,1,2,                                
14,00136,2,2,                                
14,00137,1,2,                                
14,00137,2,2,                                
14,00138,1,1,D                               
14,00138,2,2,                                
14,00139,1,2,                                
14,00139,2,2,                                
14,00140,1,2,                                
14,00140,2,2,                                
14,00141,1,2,                                
14,00141,2,2,                                
14,00142,1,2,                                
14,00142,2,2,                                
14,00143,1,2,                                
14,00143,2,2,                                
14,00144,1,2,                                
14,00144,2,2,                                
14,00145,1,2,                                
14,00145,2,2,                                
14,00146,1,1,EG                              
14,00146,2,1,EG                              
14,00147,1,1,Z                               
14,00147,2,2,                                
14,00148,1,2,                                
14,00148,2,2,                                
14,00149,1,2,                                
14,00149,2,2,                                
14,00150,1,2,                                
14,00150,2,2,                                
14,00151,1,1,F                               
14,00151,2,1,F                               
14,00152,1,1,C                               
14,00152,2,1,C                               
14,00153,1,2,                                
14,00153,2,2,                                
14,00154,1,2,                                
14,00154,2,2,                                
14,00155,1,2,                                
14,00155,2,2,                                
14,00156,1,2,                                
14,00156,2,2,                                
14,00157,1,1,F                               
14,00157,2,1,F                               
14,00158,1,2,                                
14,00158,2,2,                                
14,00159,1,1,EF                              
14,00159,2,1,EF                              
14,00160,1,2,                                
